event_id,timestamp_utc,timestamp_lst,event_type,confidence,uncertainty_classification,modalities,spatial_coords,uncertainty,thumbnail
EVENT_000000,2023-01-01T00:00:00,2023-01-01T00:00:00,NORMAL,0.18337507545948029,0.6332498788833618,"{'thermal': False, 'seismic': False}","{'lat': -89.50044999754861, 'lon': 0.07441414645854269, 'altitude_m': -2046.1165265570576, 'enu': {'east': 72.08092366233504, 'north': -49.94972789682719, 'up': -46.11652655705768}}","{'position_m': 49.11020352721602, 'time_s': 251.84111711873965, 'classification': 0.3166249394416809}",thumbnail_000000.png
EVENT_000001,2023-01-01T01:00:00,2023-01-01T01:00:00,ANOMALY,0.9792999625205994,0.9585999250411987,"{'thermal': False, 'seismic': False}","{'lat': -89.49940924503822, 'lon': -0.035791993847982394, 'altitude_m': -2022.8457084180259, 'enu': {'east': -34.66975164079183, 'north': 65.57380075751774, 'up': -22.84570841802581}}","{'position_m': 15.860010218987918, 'time_s': 161.58764573179997, 'classification': 0.47929996252059937}",thumbnail_000001.png
EVENT_000002,2023-01-01T02:00:00,2023-01-01T02:00:00,ANOMALY,0.879730224609375,0.75946044921875,"{'thermal': False, 'seismic': False}","{'lat': -89.50055066660542, 'lon': 0.070618837559214, 'altitude_m': -2008.8646094943322, 'enu': {'east': 68.40461500239627, 'north': -61.12399320102539, 'up': -8.864609494332143}}","{'position_m': 48.29733968914772, 'time_s': 137.72228332250484, 'classification': 0.379730224609375}",thumbnail_000002.png
EVENT_000003,2023-01-01T03:00:00,2023-01-01T03:00:00,NORMAL,0.23534217476844788,0.5293156504631042,"{'thermal': False, 'seismic': False}","{'lat': -89.49915398762683, 'lon': -0.07582848428747949, 'altitude_m': -1978.5404895820047, 'enu': {'east': -73.45091555140604, 'north': 93.9073734228318, 'up': 21.459510417995205}}","{'position_m': 35.2760983275925, 'time_s': 42.367574632922604, 'classification': 0.2646578252315521}",thumbnail_000003.png
EVENT_000004,2023-01-01T04:00:00,2023-01-01T04:00:00,NORMAL,0.09301041066646576,0.8139791488647461,"{'thermal': True, 'seismic': False}","{'lat': -89.49956028352612, 'lon': -0.013726232458665189, 'altitude_m': -2024.913947265334, 'enu': {'east': -13.29585248385159, 'north': 48.80852859982306, 'up': -24.91394726533388}}","{'position_m': 3.0123083216259134, 'time_s': 120.24744953199357, 'classification': 0.40698957443237305}",thumbnail_000004.png
EVENT_000005,2023-01-01T05:00:00,2023-01-01T05:00:00,ANOMALY,0.9706332087516785,0.9412664175033569,"{'thermal': False, 'seismic': False}","{'lat': -89.49966036053917, 'lon': -0.014801189800934214, 'altitude_m': -2044.1806404491556, 'enu': {'east': -14.337105011978451, 'north': 37.699980153073284, 'up': -44.18064044915564}}","{'position_m': 10.032350042237132, 'time_s': 25.181017018542104, 'classification': 0.47063320875167847}",thumbnail_000005.png
EVENT_000006,2023-01-01T06:00:00,2023-01-01T06:00:00,NORMAL,0.08959357440471649,0.8208128213882446,"{'thermal': True, 'seismic': False}","{'lat': -89.50073175983769, 'lon': -0.05372711830590293, 'altitude_m': -2031.7134002892692, 'enu': {'east': -52.042528168519354, 'north': -81.22534198374166, 'up': -31.713400289269266}}","{'position_m': 45.84547265369754, 'time_s': 133.26331668960023, 'classification': 0.4104064106941223}",thumbnail_000006.png
EVENT_000007,2023-01-01T07:00:00,2023-01-01T07:00:00,ANOMALY,0.8470811247825623,0.6941622495651245,"{'thermal': True, 'seismic': False}","{'lat': -89.49971691652523, 'lon': 0.0034473413555860975, 'altitude_m': -2006.4327101322108, 'enu': {'east': 3.3392514853133264, 'north': 31.422265700033364, 'up': -6.432710132210893}}","{'position_m': 46.79608586964578, 'time_s': 191.84290755916177, 'classification': 0.34708112478256226}",thumbnail_000007.png
EVENT_000008,2023-01-01T08:00:00,2023-01-01T08:00:00,ANOMALY,0.9441720247268677,0.8883440494537354,"{'thermal': False, 'seismic': False}","{'lat': -89.50061505144569, 'lon': 0.013634960274482745, 'altitude_m': -2037.9835352194357, 'enu': {'east': 13.207442098815264, 'north': -68.27071047150179, 'up': -37.98353521943578}}","{'position_m': 36.77192651152911, 'time_s': 15.267122179802989, 'classification': 0.4441720247268677}",thumbnail_000008.png
EVENT_000009,2023-01-01T09:00:00,2023-01-01T09:00:00,ANOMALY,0.962119996547699,0.924239993095398,"{'thermal': False, 'seismic': False}","{'lat': -89.50033979583894, 'lon': -0.08379598867415815, 'altitude_m': -1952.0489471378492, 'enu': {'east': -81.16860234628797, 'north': -37.717338121741165, 'up': 47.95105286215086}}","{'position_m': 17.752103669103676, 'time_s': 28.447920678219123, 'classification': 0.462119996547699}",thumbnail_000009.png
